order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery
ORD001709,CUST14978,delivered,2023-11-05 00:00:00,2023-11-05 01:00:00,2023-11-14 00:00:00,2023-11-19
ORD002085,CUST04353,shipped,2023-12-31 00:00:00,2023-12-31 06:00:00,2024-01-06 00:00:00,2024-01-09
ORD002103,CUST16045,returned,2024-11-06 00:00:00,2024-11-06 01:00:00,2024-11-10 00:00:00,2024-11-16
ORD002155,CUST16045,processing,2023-07-03 00:00:00,2023-07-03 04:00:00,2023-07-11 00:00:00,2023-07-17
ORD002211,CUST17692,delivered,2024-02-22 00:00:00,2024-02-22 02:00:00,2024-03-03 00:00:00,2024-03-06
ORD002224,CUST05312,delivered,2024-03-13 00:00:00,2024-03-13 03:00:00,2024-03-19 00:00:00,2024-03-25
ORD002278,CUST13389,shipped,2022-11-06 00:00:00,2022-11-06 05:00:00,2022-11-10 00:00:00,2022-11-21
ORD002335,CUST07487,cancelled,2024-11-03 00:00:00,2024-11-03 01:00:00,2024-11-10 00:00:00,2024-11-11
ORD002375,CUST04610,delivered,2022-12-24 00:00:00,2022-12-24 06:00:00,2022-12-28 00:00:00,2023-01-01
ORD002411,CUST20288,delivered,2024-08-10 00:00:00,2024-08-10 06:00:00,2024-08-15 00:00:00,2024-08-20
ORD002584,CUST14978,delivered,2022-12-28 00:00:00,2022-12-28 01:00:00,2023-01-07 00:00:00,2023-01-10
ORD002719,CUST21392,delivered,2023-03-09 00:00:00,2023-03-09 06:00:00,2023-03-15 00:00:00,2023-03-16
ORD002810,CUST09753,shipped,2024-02-26 00:00:00,2024-02-26 05:00:00,2024-03-01 00:00:00,2024-03-08
ORD002828,CUST02514,delivered,2024-03-25 00:00:00,2024-03-25 05:00:00,,2024-04-09
ORD002893,CUST11677,shipped,2024-10-04 00:00:00,2024-10-04 06:00:00,2024-10-12 00:00:00,2024-10-15
ORD002958,CUST11047,cancelled,2024-07-10 00:00:00,2024-07-10 03:00:00,2024-07-15 00:00:00,2024-07-25
ORD003063,CUST04172,cancelled,2022-04-17 00:00:00,2022-04-17 01:00:00,2022-04-21 00:00:00,2022-04-24
ORD003187,CUST09401,delivered,2022-10-04 00:00:00,2022-10-04 06:00:00,2022-10-14 00:00:00,2022-10-19
ORD003245,CUST16948,delivered,2024-09-28 00:00:00,2024-09-28 06:00:00,2024-10-01 00:00:00,2024-10-09
ORD003276,CUST06192,processing,2022-07-26 00:00:00,2022-07-26 05:00:00,,2022-08-08
ORD003510,CUST19741,cancelled,2024-09-15 00:00:00,2024-09-15 05:00:00,2024-09-22 00:00:00,2024-09-27
ORD003729,CUST29507,shipped,2022-12-03 00:00:00,2022-12-03 02:00:00,2022-12-12 00:00:00,2022-12-13
ORD003736,CUST02514,delivered,2022-01-18 00:00:00,2022-01-18 03:00:00,2022-01-26 00:00:00,2022-01-26
ORD003743,CUST29878,shipped,2023-04-26 00:00:00,2023-04-26 03:00:00,2023-05-06 00:00:00,2023-05-09
ORD003855,CUST10192,shipped,2024-02-08 00:00:00,2024-02-08 03:00:00,,2024-02-20
ORD003971,CUST07553,returned,2024-10-14 00:00:00,2024-10-14 01:00:00,2024-10-17 00:00:00,2024-10-27
ORD004322,CUST12725,processing,2022-08-12 00:00:00,2022-08-12 04:00:00,2022-08-19 00:00:00,2022-08-20
ORD004501,CUST26729,returned,2023-09-11 00:00:00,2023-09-11 02:00:00,2023-09-21 00:00:00,2023-09-18
ORD004554,CUST00298,cancelled,2024-10-23 00:00:00,2024-10-23 02:00:00,2024-11-01 00:00:00,2024-11-05
ORD004635,CUST10165,shipped,2023-12-14 00:00:00,2023-12-14 02:00:00,2023-12-24 00:00:00,2023-12-26
ORD004800,CUST15162,delivered,2022-03-24 00:00:00,2022-03-24 06:00:00,,2022-04-03
ORD004806,CUST17692,cancelled,2023-09-09 00:00:00,2023-09-09 05:00:00,2023-09-15 00:00:00,2023-09-22
ORD004882,CUST26160,shipped,2022-07-15 00:00:00,2022-07-15 06:00:00,2022-07-23 00:00:00,2022-07-24
ORD004959,CUST28756,delivered,2023-10-03 00:00:00,2023-10-03 05:00:00,2023-10-09 00:00:00,2023-10-10
ORD004994,CUST07927,shipped,2022-09-11 00:00:00,2022-09-11 06:00:00,2022-09-14 00:00:00,2022-09-25
ORD005012,CUST19563,delivered,2023-11-25 00:00:00,2023-11-25 02:00:00,2023-11-30 00:00:00,2023-12-02
ORD005152,CUST19096,cancelled,2024-05-06 00:00:00,2024-05-06 05:00:00,,2024-05-21
ORD005214,CUST28756,delivered,2024-10-16 00:00:00,2024-10-16 01:00:00,2024-10-20 00:00:00,2024-10-27
ORD005249,CUST07553,returned,2024-01-18 00:00:00,2024-01-18 01:00:00,2024-01-27 00:00:00,2024-01-25
ORD005279,CUST16359,delivered,2023-06-26 00:00:00,,2023-07-01 00:00:00,2023-07-05
ORD005573,CUST29890,delivered,2023-10-27 00:00:00,2023-10-27 01:00:00,2023-11-06 00:00:00,2023-11-11
ORD005633,CUST05440,delivered,2024-05-06 00:00:00,2024-05-06 03:00:00,2024-05-13 00:00:00,2024-05-18
ORD005786,CUST14741,delivered,2023-02-17 00:00:00,2023-02-17 05:00:00,2023-02-20 00:00:00,2023-03-03
ORD005792,CUST18550,processing,2023-11-20 00:00:00,2023-11-20 05:00:00,2023-11-24 00:00:00,2023-12-01
ORD005883,CUST12596,delivered,2024-04-20 00:00:00,2024-04-20 06:00:00,2024-04-28 00:00:00,2024-05-04
ORD006036,CUST10235,delivered,2022-01-07 00:00:00,2022-01-07 03:00:00,2022-01-17 00:00:00,2022-01-20
ORD006038,CUST22753,delivered,2023-01-06 00:00:00,2023-01-06 04:00:00,2023-01-13 00:00:00,2023-01-16
ORD006091,CUST08440,delivered,2024-08-28 00:00:00,2024-08-28 01:00:00,2024-09-06 00:00:00,2024-09-10
ORD006134,CUST12478,returned,2022-12-08 00:00:00,2022-12-08 05:00:00,,2022-12-15
ORD006233,CUST24409,returned,2023-12-17 00:00:00,2023-12-17 05:00:00,2023-12-27 00:00:00,2023-12-24
ORD006269,CUST07553,processing,2024-01-29 00:00:00,2024-01-29 05:00:00,2024-02-02 00:00:00,2024-02-06
ORD006433,CUST22896,shipped,2022-04-03 00:00:00,2022-04-03 03:00:00,2022-04-12 00:00:00,2022-04-14
ORD006643,CUST18122,delivered,2024-07-02 00:00:00,2024-07-02 04:00:00,2024-07-05 00:00:00,2024-07-09
ORD006674,CUST20470,delivered,2023-03-03 00:00:00,2023-03-03 04:00:00,2023-03-06 00:00:00,2023-03-12
ORD006884,CUST07539,returned,2024-09-10 00:00:00,2024-09-10 01:00:00,2024-09-17 00:00:00,2024-09-18
ORD006905,CUST15062,returned,2024-07-11 00:00:00,2024-07-11 03:00:00,2024-07-15 00:00:00,2024-07-26
ORD006914,CUST01685,delivered,2022-09-27 00:00:00,2022-09-27 04:00:00,2022-10-02 00:00:00,2022-10-06
ORD007005,CUST25085,processing,2023-03-10 00:00:00,2023-03-10 05:00:00,2023-03-19 00:00:00,2023-03-18
ORD007021,CUST10875,processing,2024-04-09 00:00:00,2024-04-09 06:00:00,2024-04-15 00:00:00,2024-04-20
ORD007072,CUST24601,delivered,2022-08-23 00:00:00,2022-08-23 02:00:00,2022-08-26 00:00:00,2022-09-01
ORD007361,CUST02722,processing,2022-09-05 00:00:00,2022-09-05 06:00:00,2022-09-14 00:00:00,2022-09-14
ORD007475,CUST20425,shipped,2024-06-30 00:00:00,2024-06-30 01:00:00,,2024-07-11
ORD007483,CUST26833,delivered,2022-11-14 00:00:00,2022-11-14 02:00:00,2022-11-22 00:00:00,2022-11-29
ORD007533,CUST16388,delivered,2023-08-13 00:00:00,2023-08-13 02:00:00,,2023-08-25
ORD007569,CUST20677,returned,2024-05-22 00:00:00,2024-05-22 01:00:00,2024-06-01 00:00:00,2024-05-29
ORD007695,CUST12304,delivered,2022-03-14 00:00:00,2022-03-14 02:00:00,2022-03-21 00:00:00,2022-03-27
ORD007821,CUST02164,delivered,2023-10-29 00:00:00,2023-10-29 01:00:00,2023-11-02 00:00:00,2023-11-12
ORD007855,CUST25085,processing,2022-04-08 00:00:00,2022-04-08 04:00:00,2022-04-14 00:00:00,2022-04-17
ORD007929,CUST13586,returned,2024-02-15 00:00:00,2024-02-15 05:00:00,2024-02-24 00:00:00,2024-02-29
ORD008033,CUST29890,delivered,2023-07-25 00:00:00,2023-07-25 02:00:00,2023-08-01 00:00:00,2023-08-08
ORD008049,CUST12141,shipped,2022-05-31 00:00:00,2022-05-31 03:00:00,2022-06-07 00:00:00,2022-06-14
ORD008058,CUST11285,returned,2024-05-30 00:00:00,2024-05-30 02:00:00,2024-06-07 00:00:00,2024-06-08
ORD008096,CUST23807,delivered,2022-01-20 00:00:00,,2022-01-26 00:00:00,2022-02-02
ORD008140,CUST26729,delivered,2022-11-12 00:00:00,2022-11-12 05:00:00,2022-11-18 00:00:00,2022-11-22
ORD008172,CUST26729,delivered,2022-01-30 00:00:00,2022-01-30 04:00:00,2022-02-09 00:00:00,2022-02-10
ORD008184,CUST18550,delivered,2022-01-05 00:00:00,2022-01-05 02:00:00,2022-01-09 00:00:00,2022-01-15
ORD008196,CUST21383,delivered,2023-06-27 00:00:00,2023-06-27 04:00:00,2023-07-03 00:00:00,2023-07-08
ORD008283,CUST28756,delivered,2023-06-23 00:00:00,2023-06-23 04:00:00,2023-06-29 00:00:00,2023-07-03
ORD008357,CUST23221,delivered,2022-01-22 00:00:00,2022-01-22 04:00:00,2022-01-30 00:00:00,2022-01-31
ORD008362,CUST04597,delivered,2022-02-25 00:00:00,2022-02-25 02:00:00,2022-03-06 00:00:00,2022-03-10
ORD008409,CUST15691,delivered,2023-09-08 00:00:00,2023-09-08 03:00:00,2023-09-11 00:00:00,2023-09-15
ORD008477,CUST14741,delivered,2024-06-17 00:00:00,2024-06-17 06:00:00,,2024-07-02
ORD008503,CUST06170,cancelled,2024-03-10 00:00:00,2024-03-10 02:00:00,2024-03-14 00:00:00,2024-03-23
ORD008623,CUST20760,shipped,2023-05-17 00:00:00,2023-05-17 05:00:00,2023-05-20 00:00:00,2023-05-28
ORD008696,CUST09579,delivered,2024-08-24 00:00:00,2024-08-24 05:00:00,,2024-09-05
ORD008725,CUST22869,delivered,2022-04-26 00:00:00,2022-04-26 02:00:00,2022-05-05 00:00:00,2022-05-09
ORD008738,CUST19089,delivered,2022-12-15 00:00:00,2022-12-15 01:00:00,2022-12-18 00:00:00,2022-12-23
ORD008872,CUST21392,shipped,2024-02-20 00:00:00,2024-02-20 05:00:00,2024-03-01 00:00:00,2024-03-01
ORD008886,CUST14817,processing,2023-01-16 00:00:00,,2023-01-26 00:00:00,2023-01-29
ORD009048,CUST00995,delivered,2022-07-09 00:00:00,2022-07-09 01:00:00,2022-07-13 00:00:00,2022-07-22
ORD009118,CUST04610,delivered,2023-09-03 00:00:00,2023-09-03 02:00:00,2023-09-11 00:00:00,2023-09-12
ORD009268,CUST09753,delivered,2024-11-17 00:00:00,2024-11-17 05:00:00,,2024-11-30
ORD009276,CUST23479,delivered,2023-04-02 00:00:00,2023-04-02 06:00:00,2023-04-12 00:00:00,2023-04-14
ORD009314,CUST00298,delivered,2024-07-16 00:00:00,2024-07-16 06:00:00,2024-07-22 00:00:00,2024-07-30
ORD009357,CUST16837,processing,2024-09-20 00:00:00,2024-09-20 02:00:00,2024-09-25 00:00:00,2024-10-04
ORD009445,CUST27823,cancelled,2023-10-16 00:00:00,2023-10-16 03:00:00,2023-10-23 00:00:00,2023-10-31
ORD009544,CUST21456,delivered,2023-11-04 00:00:00,2023-11-04 02:00:00,2023-11-10 00:00:00,2023-11-14
ORD009699,CUST23807,returned,2023-06-05 00:00:00,2023-06-05 02:00:00,2023-06-09 00:00:00,2023-06-13
ORD010013,CUST19089,shipped,2024-09-06 00:00:00,2024-09-06 02:00:00,2024-09-16 00:00:00,2024-09-15
ORD010047,CUST29529,delivered,2022-02-13 00:00:00,2022-02-13 01:00:00,2022-02-18 00:00:00,2022-02-24
ORD010164,CUST27821,processing,2023-12-31 00:00:00,2023-12-31 03:00:00,,2024-01-11
ORD010306,CUST06192,delivered,2023-11-19 00:00:00,2023-11-19 03:00:00,2023-11-22 00:00:00,2023-12-04
ORD010394,CUST01168,cancelled,2023-08-09 00:00:00,2023-08-09 06:00:00,2023-08-12 00:00:00,2023-08-21
ORD010510,CUST17692,processing,2022-08-23 00:00:00,2022-08-23 05:00:00,2022-08-28 00:00:00,2022-09-05
ORD010535,CUST02514,cancelled,2022-07-04 00:00:00,2022-07-04 01:00:00,,2022-07-12
ORD010664,CUST14741,cancelled,2024-06-09 00:00:00,2024-06-09 05:00:00,2024-06-16 00:00:00,2024-06-18
ORD010742,CUST15470,cancelled,2024-02-25 00:00:00,2024-02-25 04:00:00,2024-03-04 00:00:00,2024-03-03
ORD010894,CUST16359,delivered,2023-05-12 00:00:00,2023-05-12 06:00:00,2023-05-20 00:00:00,2023-05-21
ORD011291,CUST22371,delivered,2023-09-08 00:00:00,2023-09-08 02:00:00,2023-09-16 00:00:00,2023-09-18
ORD011334,CUST28772,delivered,2023-02-11 00:00:00,2023-02-11 05:00:00,2023-02-15 00:00:00,2023-02-18
ORD011449,CUST05312,delivered,2024-01-24 00:00:00,2024-01-24 01:00:00,2024-01-27 00:00:00,2024-02-02
ORD011841,CUST09834,processing,2023-11-27 00:00:00,2023-11-27 06:00:00,2023-12-03 00:00:00,2023-12-12
ORD011954,CUST27821,delivered,2022-02-17 00:00:00,2022-02-17 05:00:00,2022-02-21 00:00:00,2022-02-27
ORD012001,CUST02526,processing,2024-12-14 00:00:00,2024-12-14 06:00:00,2024-12-19 00:00:00,2024-12-26
ORD012050,CUST17692,returned,2024-09-06 00:00:00,2024-09-06 05:00:00,2024-09-16 00:00:00,2024-09-13
ORD012091,CUST23564,delivered,2023-11-26 00:00:00,2023-11-26 03:00:00,2023-11-30 00:00:00,2023-12-10
ORD012161,CUST20453,delivered,2024-02-25 00:00:00,2024-02-25 05:00:00,,2024-03-08
ORD012194,CUST15193,delivered,2023-11-04 00:00:00,2023-11-04 03:00:00,,2023-11-15
ORD012219,CUST14741,delivered,2024-11-18 00:00:00,2024-11-18 04:00:00,2024-11-28 00:00:00,2024-12-01
ORD012356,CUST12155,shipped,2024-11-25 00:00:00,2024-11-25 04:00:00,,2024-12-09
ORD012476,CUST12508,delivered,2023-08-11 00:00:00,2023-08-11 02:00:00,2023-08-20 00:00:00,2023-08-23
ORD012572,CUST15579,delivered,2024-05-08 00:00:00,2024-05-08 06:00:00,2024-05-14 00:00:00,2024-05-18
ORD012573,CUST25967,delivered,2023-12-03 00:00:00,2023-12-03 01:00:00,2023-12-09 00:00:00,2023-12-15
ORD012646,CUST21039,delivered,2023-04-06 00:00:00,2023-04-06 01:00:00,2023-04-11 00:00:00,2023-04-15
ORD012825,CUST22869,delivered,2024-12-17 00:00:00,2024-12-17 01:00:00,2024-12-26 00:00:00,2024-12-27
ORD012855,CUST20998,returned,2024-08-03 00:00:00,2024-08-03 02:00:00,2024-08-13 00:00:00,2024-08-17
ORD012859,CUST18929,processing,2024-07-25 00:00:00,2024-07-25 04:00:00,2024-08-02 00:00:00,2024-08-05
ORD012900,CUST04943,delivered,2022-08-22 00:00:00,2022-08-22 01:00:00,,2022-09-06
ORD012917,CUST23334,shipped,2022-03-05 00:00:00,2022-03-05 02:00:00,2022-03-12 00:00:00,2022-03-18
ORD013138,CUST13586,processing,2024-05-23 00:00:00,2024-05-23 06:00:00,2024-05-26 00:00:00,2024-05-31
ORD013443,CUST01899,delivered,2022-03-02 00:00:00,2022-03-02 05:00:00,2022-03-05 00:00:00,2022-03-12
ORD013636,CUST02810,shipped,2024-11-23 00:00:00,2024-11-23 03:00:00,2024-12-02 00:00:00,2024-12-05
ORD013687,CUST14978,shipped,2022-04-03 00:00:00,2022-04-03 05:00:00,,2022-04-10
ORD013709,CUST25085,delivered,2022-08-13 00:00:00,2022-08-13 05:00:00,,2022-08-24
ORD013858,CUST27505,delivered,2023-09-25 00:00:00,2023-09-25 04:00:00,2023-09-29 00:00:00,2023-10-06
ORD013875,CUST28752,delivered,2024-03-07 00:00:00,2024-03-07 04:00:00,2024-03-10 00:00:00,2024-03-18
ORD013951,CUST01685,cancelled,2023-05-23 00:00:00,2023-05-23 03:00:00,2023-05-28 00:00:00,2023-05-31
ORD014039,CUST17692,returned,2022-02-25 00:00:00,2022-02-25 05:00:00,2022-03-02 00:00:00,2022-03-05
ORD014176,CUST21055,processing,2022-07-23 00:00:00,2022-07-23 04:00:00,2022-07-26 00:00:00,2022-08-02
ORD014560,CUST28004,returned,2022-08-17 00:00:00,2022-08-17 04:00:00,2022-08-20 00:00:00,2022-08-30
ORD014562,CUST07553,delivered,2023-01-02 00:00:00,2023-01-02 03:00:00,2023-01-11 00:00:00,2023-01-13
ORD014595,CUST02514,delivered,2024-07-16 00:00:00,2024-07-16 04:00:00,2024-07-25 00:00:00,2024-07-29
ORD014695,CUST28260,processing,2023-12-29 00:00:00,2023-12-29 02:00:00,2024-01-08 00:00:00,2024-01-09
ORD014746,CUST12169,delivered,2022-08-24 00:00:00,2022-08-24 02:00:00,2022-08-28 00:00:00,2022-09-02
ORD014774,CUST16388,delivered,2022-10-28 00:00:00,2022-10-28 03:00:00,2022-11-06 00:00:00,2022-11-08
ORD014907,CUST25085,delivered,2022-02-25 00:00:00,,,2022-03-07
ORD014954,CUST05630,cancelled,2024-01-07 00:00:00,2024-01-07 06:00:00,2024-01-12 00:00:00,2024-01-17
ORD015101,CUST16837,cancelled,2024-09-09 00:00:00,2024-09-09 05:00:00,2024-09-13 00:00:00,2024-09-24
ORD015110,CUST21392,delivered,2024-05-19 00:00:00,2024-05-19 05:00:00,2024-05-22 00:00:00,2024-06-02
ORD015340,CUST19289,delivered,2024-10-18 00:00:00,2024-10-18 06:00:00,2024-10-24 00:00:00,2024-10-30
ORD015499,CUST29878,delivered,2022-11-18 00:00:00,2022-11-18 02:00:00,2022-11-28 00:00:00,2022-11-26
ORD015507,CUST29878,returned,2022-12-11 00:00:00,2022-12-11 02:00:00,,2022-12-19
ORD015550,CUST17692,shipped,2023-02-14 00:00:00,2023-02-14 02:00:00,2023-02-24 00:00:00,2023-02-28
ORD015848,CUST18929,shipped,2024-05-13 00:00:00,2024-05-13 04:00:00,,2024-05-20
ORD016157,CUST07308,cancelled,2022-01-06 00:00:00,2022-01-06 02:00:00,,2022-01-14
ORD016290,CUST23528,cancelled,2023-06-27 00:00:00,2023-06-27 03:00:00,2023-07-06 00:00:00,2023-07-04
ORD016428,CUST00169,delivered,2023-11-28 00:00:00,,2023-12-06 00:00:00,2023-12-11
ORD016491,CUST16302,processing,2022-02-13 00:00:00,2022-02-13 05:00:00,2022-02-23 00:00:00,2022-02-26
ORD016575,CUST21824,returned,2023-09-01 00:00:00,2023-09-01 06:00:00,2023-09-06 00:00:00,2023-09-14
ORD016672,CUST04943,delivered,2022-12-09 00:00:00,2022-12-09 02:00:00,2022-12-14 00:00:00,2022-12-16
ORD016754,CUST10263,returned,2024-05-06 00:00:00,2024-05-06 05:00:00,2024-05-10 00:00:00,2024-05-15
ORD016821,CUST15691,shipped,2023-05-05 00:00:00,2023-05-05 04:00:00,2023-05-12 00:00:00,2023-05-20
ORD016836,CUST15995,delivered,2024-05-13 00:00:00,2024-05-13 02:00:00,,2024-05-22
ORD016935,CUST14879,delivered,2024-04-20 00:00:00,2024-04-20 03:00:00,2024-04-23 00:00:00,2024-04-27
ORD016956,CUST01899,delivered,2022-06-19 00:00:00,2022-06-19 05:00:00,2022-06-23 00:00:00,2022-06-27
ORD017167,CUST12508,returned,2024-09-12 00:00:00,2024-09-12 02:00:00,2024-09-15 00:00:00,2024-09-19
ORD017428,CUST09753,processing,2023-07-28 00:00:00,2023-07-28 04:00:00,2023-07-31 00:00:00,2023-08-08
ORD017678,CUST15012,shipped,2022-07-02 00:00:00,2022-07-02 05:00:00,2022-07-08 00:00:00,2022-07-12
ORD017772,CUST09753,shipped,2023-09-28 00:00:00,2023-09-28 01:00:00,2023-10-05 00:00:00,2023-10-06
ORD018070,CUST28004,delivered,2023-11-26 00:00:00,2023-11-26 06:00:00,2023-11-30 00:00:00,2023-12-03
ORD018145,CUST01173,returned,2022-09-10 00:00:00,2022-09-10 03:00:00,2022-09-15 00:00:00,2022-09-24
ORD018250,CUST05630,delivered,2022-12-09 00:00:00,2022-12-09 01:00:00,2022-12-17 00:00:00,2022-12-23
ORD018262,CUST04718,processing,2023-10-05 00:00:00,,2023-10-11 00:00:00,2023-10-15
ORD018270,CUST03417,shipped,2023-09-22 00:00:00,2023-09-22 04:00:00,2023-09-28 00:00:00,2023-10-03
ORD018349,CUST05312,cancelled,2022-03-25 00:00:00,2022-03-25 02:00:00,2022-03-30 00:00:00,2022-04-05
ORD018449,CUST10875,cancelled,2022-05-19 00:00:00,2022-05-19 04:00:00,2022-05-26 00:00:00,2022-06-02
ORD018538,CUST19289,delivered,2024-07-25 00:00:00,2024-07-25 01:00:00,2024-07-30 00:00:00,2024-08-02
ORD018556,CUST21442,delivered,2024-07-11 00:00:00,2024-07-11 03:00:00,2024-07-18 00:00:00,2024-07-20
ORD018687,CUST11047,processing,2022-08-28 00:00:00,2022-08-28 06:00:00,2022-09-03 00:00:00,2022-09-12
ORD018734,CUST07553,delivered,2023-05-14 00:00:00,2023-05-14 06:00:00,2023-05-17 00:00:00,2023-05-26
ORD018825,CUST23528,delivered,2023-07-25 00:00:00,2023-07-25 05:00:00,2023-07-30 00:00:00,2023-08-02
ORD019180,CUST04943,delivered,2022-09-30 00:00:00,2022-09-30 05:00:00,2022-10-08 00:00:00,2022-10-15
ORD019200,CUST26323,delivered,2023-02-22 00:00:00,2023-02-22 04:00:00,,2023-03-06
ORD019239,CUST28756,returned,2022-09-04 00:00:00,2022-09-04 05:00:00,2022-09-07 00:00:00,2022-09-17
ORD019274,CUST16632,delivered,2023-11-11 00:00:00,2023-11-11 01:00:00,2023-11-17 00:00:00,2023-11-25
ORD019457,CUST05057,delivered,2024-01-13 00:00:00,2024-01-13 05:00:00,,2024-01-26
ORD019513,CUST15197,returned,2024-05-08 00:00:00,2024-05-08 03:00:00,,2024-05-16
ORD019517,CUST07620,delivered,2023-05-13 00:00:00,2023-05-13 03:00:00,2023-05-19 00:00:00,2023-05-28
ORD019684,CUST07308,returned,2024-03-24 00:00:00,2024-03-24 05:00:00,2024-03-31 00:00:00,2024-04-05
ORD020053,CUST14741,processing,2023-06-23 00:00:00,2023-06-23 03:00:00,2023-06-26 00:00:00,2023-07-08
ORD020110,CUST10929,delivered,2022-04-11 00:00:00,2022-04-11 04:00:00,2022-04-15 00:00:00,2022-04-26
ORD020205,CUST12169,delivered,2024-01-09 00:00:00,2024-01-09 06:00:00,2024-01-19 00:00:00,2024-01-23
ORD020232,CUST26195,shipped,2022-11-07 00:00:00,2022-11-07 01:00:00,2022-11-15 00:00:00,2022-11-16
ORD020294,CUST26729,delivered,2024-04-30 00:00:00,2024-04-30 05:00:00,2024-05-10 00:00:00,2024-05-09
ORD020311,CUST18122,delivered,2024-05-16 00:00:00,2024-05-16 03:00:00,,2024-05-25
ORD020352,CUST02526,returned,2022-07-31 00:00:00,2022-07-31 01:00:00,2022-08-03 00:00:00,2022-08-15
ORD020647,CUST26323,returned,2023-08-07 00:00:00,2023-08-07 06:00:00,2023-08-17 00:00:00,2023-08-15
ORD020760,CUST00995,delivered,2023-10-23 00:00:00,2023-10-23 01:00:00,2023-11-01 00:00:00,2023-11-06
ORD020800,CUST13420,cancelled,2022-06-28 00:00:00,2022-06-28 05:00:00,2022-07-02 00:00:00,2022-07-08
ORD020855,CUST22170,processing,2023-12-30 00:00:00,2023-12-30 01:00:00,2024-01-02 00:00:00,2024-01-07
ORD020859,CUST26729,delivered,2024-09-29 00:00:00,2024-09-29 05:00:00,,2024-10-06
ORD021060,CUST23807,delivered,2023-01-29 00:00:00,2023-01-29 02:00:00,2023-02-03 00:00:00,2023-02-12
ORD021078,CUST18550,delivered,2022-11-13 00:00:00,2022-11-13 02:00:00,2022-11-17 00:00:00,2022-11-28
ORD021110,CUST22869,delivered,2023-11-14 00:00:00,2023-11-14 02:00:00,2023-11-18 00:00:00,2023-11-28
ORD021136,CUST14978,delivered,2024-12-06 00:00:00,2024-12-06 04:00:00,2024-12-16 00:00:00,2024-12-17
ORD021160,CUST01412,processing,2023-09-24 00:00:00,2023-09-24 02:00:00,2023-10-01 00:00:00,2023-10-04
ORD021436,CUST15012,delivered,2022-04-29 00:00:00,2022-04-29 06:00:00,2022-05-04 00:00:00,2022-05-09
ORD021769,CUST08853,delivered,2022-10-31 00:00:00,2022-10-31 01:00:00,2022-11-10 00:00:00,2022-11-09
