order_id,payment_value,payment_type,payment_installments
ORD000196,83616.2,UPI,1.0
ORD000197,49272.67,Debit Card,1.0
ORD000198,20710.4,Credit Card,1.0
ORD000199,28701.97,Net Banking,1.0
ORD000200,,Cash on Delivery,1.0
ORD000201,47188.09,UPI,1.0
ORD000202,38741.06,UPI,1.0
ORD000203,35307.56,UPI,1.0
ORD000204,3566.48,UPI,1.0
ORD000205,,EMI,6.0
ORD000206,78690.41,UPI,1.0
ORD000207,13333.04,UPI,1.0
ORD000208,39096.4,Credit Card,1.0
ORD000209,83235.69,Net Banking,1.0
ORD000210,13627.77,Credit Card,1.0
ORD000211,82530.87,UPI,1.0
ORD000212,35094.26,UPI,1.0
ORD000213,35306.56,Debit Card,1.0
ORD000214,12576.64,Credit Card,1.0
ORD000215,100103.53,Debit Card,1.0
ORD000216,32224.08,Debit Card,1.0
ORD000217,6092.14,EMI,3.0
ORD000218,1732.12,Credit Card,1.0
ORD000219,19980.25,Credit Card,1.0
ORD000220,2909.64,Cash on Delivery,1.0
ORD000221,252.91,UPI,1.0
ORD000222,21934.35,Debit Card,1.0
ORD000223,12030.86,Debit Card,1.0
ORD000224,98922.49,UPI,1.0
ORD000225,16205.22,Debit Card,1.0
ORD000226,21239.23,Debit Card,1.0
ORD000227,43764.88,Cash on Delivery,1.0
ORD000228,17234.12,Debit Card,1.0
ORD000229,,Debit Card,1.0
ORD000230,53606.65,UPI,1.0
ORD000231,39027.12,EMI,9.0
ORD000232,54240.65,,1.0
ORD000233,87498.12,Debit Card,1.0
ORD000234,37113.26,Cash on Delivery,1.0
ORD000235,38057.44,EMI,9.0
ORD000236,29956.56,UPI,
ORD000237,14004.77,UPI,1.0
ORD000238,131540.42,UPI,1.0
ORD000239,3957.77,Cash on Delivery,1.0
ORD000240,49437.57,UPI,1.0
ORD000241,78891.14,Credit Card,1.0
ORD000242,16188.69,Cash on Delivery,1.0
ORD000243,4804.54,UPI,1.0
ORD000244,64026.67,Cash on Delivery,1.0
ORD000245,9389.49,Debit Card,1.0
ORD000246,31949.84,UPI,1.0
ORD000247,101760.36,Credit Card,1.0
ORD000248,24890.18,Debit Card,1.0
ORD000249,117692.15,UPI,1.0
ORD000250,68762.16,Debit Card,1.0
ORD000251,46266.29,Cash on Delivery,1.0
ORD000252,132399.38,Credit Card,1.0
ORD000253,3351.82,EMI,6.0
ORD000254,25060.48,Credit Card,1.0
ORD000255,2328.73,UPI,1.0
ORD000256,20707.24,Credit Card,
ORD000257,34280.3,UPI,1.0
ORD000258,64648.11,Cash on Delivery,1.0
ORD000259,83015.12,UPI,1.0
ORD000260,20836.71,Wallet,1.0
ORD000261,26374.59,Credit Card,1.0
ORD000262,68566.22,EMI,6.0
ORD000263,337850.0,UPI,1.0
ORD000264,12445.2,Debit Card,1.0
ORD000265,1154.16,UPI,1.0
ORD000266,69143.18,UPI,1.0
ORD000267,28227.76,Debit Card,1.0
ORD000268,18596.86,UPI,1.0
ORD000269,34557.24,Debit Card,1.0
ORD000270,38304.46,Net Banking,
ORD000271,15430.26,UPI,1.0
ORD000272,53584.44,Net Banking,1.0
ORD000273,10159.42,UPI,1.0
ORD000274,97473.3,UPI,1.0
ORD000275,50918.57,Cash on Delivery,1.0
ORD000276,8875.48,UPI,1.0
ORD000277,177958.26,Debit Card,1.0
ORD000278,36763.32,EMI,12.0
ORD000279,3098.55,Credit Card,1.0
ORD000280,79338.62,UPI,1.0
ORD000281,24681.78,Credit Card,1.0
ORD000282,98546.45,Cash on Delivery,1.0
ORD000283,93479.54,UPI,1.0
ORD000284,15698.23,UPI,1.0
ORD000285,73228.17,Credit Card,1.0
ORD000286,16093.7,Debit Card,1.0
ORD000287,14478.5,,1.0
ORD000288,20118.88,UPI,1.0
ORD000289,63944.83,Debit Card,1.0
ORD000290,39769.53,Net Banking,1.0
ORD000291,18693.01,Debit Card,1.0
ORD000292,50679.41,UPI,1.0
ORD000293,954.23,Cash on Delivery,1.0
ORD000294,9151.55,Debit Card,1.0
ORD000295,12596.94,UPI,1.0
ORD000296,54676.61,UPI,1.0
ORD000297,62525.68,UPI,1.0
ORD000298,64605.4,Net Banking,1.0
ORD000299,48387.8,Credit Card,1.0
ORD000300,44913.29,Wallet,1.0
ORD000301,52792.02,UPI,1.0
ORD000302,38309.02,Cash on Delivery,1.0
ORD000303,5761.44,UPI,1.0
ORD000304,30263.53,UPI,1.0
ORD000305,106832.72,Debit Card,1.0
ORD000306,26449.86,Cash on Delivery,1.0
ORD000307,34682.92,EMI,12.0
ORD000308,1108.41,UPI,1.0
ORD000309,48282.6,UPI,1.0
ORD000310,61448.04,UPI,1.0
ORD000311,49252.22,Debit Card,1.0
ORD000312,94702.94,UPI,1.0
ORD000313,16647.27,UPI,1.0
ORD000314,67708.64,Credit Card,1.0
ORD000315,36358.87,Debit Card,1.0
ORD000316,92564.75,UPI,1.0
ORD000317,117175.82,Credit Card,1.0
ORD000318,84582.32,Debit Card,1.0
ORD000319,54249.52,Debit Card,1.0
ORD000320,27292.14,Net Banking,1.0
ORD000321,36854.89,UPI,1.0
ORD000322,85719.62,UPI,1.0
ORD000323,75367.36,Debit Card,1.0
ORD000324,19798.02,Cash on Delivery,1.0
ORD000325,116377.39,UPI,1.0
ORD000326,83146.98,Credit Card,1.0
ORD000327,77058.1,,1.0
ORD000328,61596.78,UPI,1.0
ORD000329,13762.2,Credit Card,
ORD000330,17902.74,Cash on Delivery,1.0
ORD000331,33340.77,Credit Card,1.0
ORD000332,30042.63,UPI,1.0
ORD000333,79474.8,Net Banking,1.0
ORD000334,53906.45,Cash on Delivery,1.0
ORD000335,67722.6,UPI,1.0
ORD000336,2896.12,Cash on Delivery,1.0
ORD000337,39076.62,UPI,1.0
ORD000338,14218.21,UPI,1.0
ORD000339,12270.65,Credit Card,1.0
ORD000340,68353.8,Net Banking,1.0
ORD000341,,Cash on Delivery,1.0
ORD000342,19163.09,Debit Card,1.0
ORD000343,69985.05,Debit Card,1.0
ORD000344,89264.12,Debit Card,1.0
ORD000345,32462.98,Cash on Delivery,1.0
ORD000346,89945.89,Net Banking,1.0
ORD000347,69593.81,UPI,1.0
ORD000348,12036.5,Credit Card,1.0
ORD000349,26580.94,Cash on Delivery,1.0
ORD000350,13070.54,Cash on Delivery,1.0
ORD000351,18499.8,UPI,1.0
ORD000352,28406.78,Debit Card,1.0
ORD000353,60890.52,UPI,1.0
ORD000354,22838.58,Wallet,1.0
ORD000355,72317.8,Debit Card,1.0
ORD000356,36076.15,Credit Card,1.0
ORD000357,74738.37,Debit Card,1.0
ORD000358,77715.88,Credit Card,1.0
ORD000359,5969.36,UPI,1.0
ORD000360,6985.96,UPI,1.0
ORD000361,57074.45,Wallet,1.0
ORD000362,25723.42,UPI,1.0
ORD000363,7302.8,Net Banking,1.0
ORD000364,16518.98,Credit Card,1.0
ORD000365,5714.8,UPI,1.0
ORD000366,63613.05,Debit Card,
ORD000367,71172.74,UPI,1.0
ORD000368,48204.09,UPI,1.0
ORD000369,42597.61,Credit Card,1.0
ORD000370,26625.17,Debit Card,1.0
ORD000371,28326.34,UPI,1.0
ORD000372,16903.48,Cash on Delivery,1.0
ORD000373,42391.32,UPI,1.0
ORD000374,157636.27,UPI,1.0
ORD000375,47910.83,Cash on Delivery,1.0
ORD000376,149888.02,Debit Card,1.0
ORD000377,12126.92,Credit Card,1.0
ORD000378,5551.08,Credit Card,1.0
ORD000379,50739.42,Debit Card,1.0
ORD000380,41850.84,Cash on Delivery,1.0
ORD000381,45923.7,UPI,1.0
ORD000382,12538.8,Wallet,1.0
ORD000383,80069.27,UPI,1.0
ORD000384,61124.55,Cash on Delivery,1.0
ORD000385,65044.28,UPI,1.0
ORD000386,19774.34,EMI,9.0
ORD000387,43944.42,Net Banking,1.0
ORD000388,2786.16,Credit Card,1.0
ORD000389,36743.05,UPI,1.0
ORD000390,31144.92,Credit Card,1.0
ORD000391,8732.13,UPI,1.0
ORD000392,70736.04,UPI,1.0
ORD000393,31811.16,Net Banking,1.0
ORD000394,56117.4,Credit Card,1.0
ORD000395,47214.32,Debit Card,1.0
ORD000396,11953.27,UPI,1.0
ORD000397,22582.63,Net Banking,1.0
ORD000398,14524.42,UPI,1.0
ORD000399,143648.32,Debit Card,1.0
ORD000400,1280.67,Credit Card,1.0
ORD000401,66901.28,UPI,1.0
ORD000402,16245.21,Cash on Delivery,1.0
ORD000403,22287.42,UPI,1.0
ORD000404,102289.9,UPI,1.0
ORD000405,86004.17,Credit Card,1.0
ORD000406,10718.77,UPI,1.0
ORD000407,59297.75,UPI,1.0
ORD000408,29056.49,EMI,9.0
ORD000409,26144.46,Net Banking,1.0
ORD000410,30821.01,UPI,1.0
ORD000411,,Debit Card,1.0
ORD000412,49935.0,Credit Card,1.0
ORD000413,62351.04,UPI,1.0
ORD000414,9040.04,Cash on Delivery,1.0
ORD000415,24247.88,Debit Card,1.0
ORD000416,100217.52,UPI,1.0
ORD000417,20539.49,Credit Card,1.0
ORD000418,55923.42,Net Banking,1.0
ORD000419,21145.45,UPI,1.0
ORD000420,117198.17,UPI,1.0
ORD000421,,Debit Card,1.0
ORD000422,1715.4,Wallet,1.0
ORD000423,18229.26,UPI,1.0
ORD000424,87256.67,EMI,6.0
ORD000425,153.6,Net Banking,1.0
ORD000426,7530.69,Credit Card,1.0
ORD000427,62951.17,Debit Card,1.0
ORD000428,19759.62,Debit Card,1.0
ORD000429,8639.92,UPI,1.0
ORD000430,29872.92,Credit Card,1.0
ORD000431,9881.68,Credit Card,1.0
ORD000432,33256.64,UPI,1.0
ORD000433,1816.32,UPI,1.0
ORD000434,10674.25,UPI,1.0
ORD000435,22149.0,Credit Card,1.0
ORD000436,99726.15,,1.0
ORD000437,135.84,UPI,1.0
ORD000438,47930.5,Credit Card,1.0
ORD000439,12836.75,UPI,1.0
ORD000440,27364.92,Cash on Delivery,1.0
ORD000441,31689.18,,1.0
ORD000442,40373.95,Debit Card,1.0
ORD000443,9428.17,Cash on Delivery,1.0
ORD000444,41976.28,Net Banking,1.0
ORD000445,35629.28,UPI,1.0
ORD000446,32548.92,UPI,1.0
ORD000447,115299.44,Credit Card,1.0
ORD000448,28287.51,Debit Card,1.0
ORD000449,11248.88,Net Banking,1.0
ORD000450,20344.27,UPI,1.0
ORD000451,110489.78,,1.0
ORD000452,4610.98,Wallet,1.0
ORD000453,18455.49,Debit Card,1.0
ORD000454,32387.12,Wallet,1.0
ORD000455,42754.72,UPI,1.0
ORD000456,40972.24,Credit Card,1.0
ORD000457,9541.18,Cash on Delivery,1.0
ORD000458,68724.76,EMI,3.0
ORD000459,86753.23,Credit Card,1.0
ORD000460,23312.17,UPI,1.0
ORD000461,1195.97,Credit Card,1.0
ORD000462,2687.68,UPI,1.0
ORD000463,20466.76,UPI,1.0
ORD000464,18441.5,Credit Card,1.0
ORD000465,11423.79,,1.0
ORD000466,79134.31,Net Banking,1.0
ORD000467,54801.13,UPI,1.0
ORD000468,21053.01,,1.0
ORD000469,22433.17,Credit Card,1.0
ORD000470,119407.98,UPI,1.0
ORD000471,57490.4,Cash on Delivery,1.0
ORD000472,11500.88,Cash on Delivery,1.0
ORD000473,123082.46,Credit Card,1.0
ORD000474,84792.4,UPI,1.0
ORD000475,68011.0,Debit Card,1.0
ORD000476,27508.76,UPI,1.0
ORD000477,13774.33,EMI,12.0
ORD000478,4610.62,Debit Card,1.0
ORD000479,41623.53,Debit Card,1.0
ORD000480,94788.04,UPI,1.0
ORD000481,20551.4,UPI,1.0
ORD000482,18658.2,UPI,1.0
ORD000483,6100.45,Credit Card,1.0
ORD000484,64131.69,UPI,1.0
ORD000485,40076.8,Credit Card,1.0
ORD000486,14736.64,Cash on Delivery,1.0
ORD000487,34137.81,Cash on Delivery,1.0
ORD000488,75032.24,Debit Card,1.0
ORD000489,9346.64,,1.0
ORD000490,413511.5,Debit Card,1.0
ORD000491,15387.3,Debit Card,1.0
ORD000492,12647.0,UPI,1.0
ORD000493,25752.49,,1.0
ORD000494,10631.67,Debit Card,1.0
ORD000495,47307.22,Debit Card,1.0
ORD000496,2629.43,UPI,1.0
ORD000497,3374.04,UPI,1.0
ORD000498,3354.69,UPI,1.0
ORD000499,6501.86,Debit Card,1.0
ORD000500,48469.83,Credit Card,1.0
ORD000501,63331.72,Net Banking,1.0
ORD000502,1266.26,EMI,6.0
ORD000503,84546.63,Credit Card,1.0
ORD000504,82458.24,UPI,1.0
ORD000505,36185.74,UPI,1.0
ORD000506,12494.51,Net Banking,1.0
ORD000507,50029.91,UPI,1.0
ORD000508,35938.26,Credit Card,1.0
ORD000509,18447.76,UPI,1.0
ORD000510,49114.5,Debit Card,1.0
ORD000511,1012.65,Cash on Delivery,1.0
ORD000512,13898.13,Debit Card,1.0
ORD000513,31915.78,UPI,1.0
ORD000514,4152.73,UPI,1.0
ORD000515,29128.75,Cash on Delivery,1.0
ORD000516,1844.37,UPI,1.0
ORD000517,79537.08,Net Banking,1.0
ORD000518,44520.56,Cash on Delivery,1.0
ORD000519,5913.72,UPI,1.0
ORD000520,60665.08,UPI,1.0
ORD000521,4183.45,UPI,1.0
ORD000522,50195.28,Credit Card,1.0
ORD000523,20047.28,UPI,1.0
ORD000524,40714.35,UPI,1.0
ORD000525,92322.51,Credit Card,1.0
ORD000526,7083.85,UPI,1.0
ORD000527,46911.21,UPI,1.0
ORD000528,36320.62,Debit Card,1.0
ORD000529,13752.57,Cash on Delivery,1.0
ORD000530,140.03,UPI,1.0
ORD000531,13748.08,Credit Card,1.0
ORD000532,26357.84,Debit Card,1.0
ORD000533,17521.37,Credit Card,1.0
ORD000534,11346.42,UPI,1.0
ORD000535,22829.88,Debit Card,1.0
ORD000536,53092.32,Cash on Delivery,1.0
ORD000537,59883.44,Wallet,1.0
ORD000538,65930.52,UPI,1.0
ORD000539,11658.36,Debit Card,1.0
ORD000540,53507.26,UPI,1.0
ORD000541,42592.66,Wallet,1.0
ORD000542,54420.13,Cash on Delivery,1.0
ORD000543,21935.7,UPI,1.0
ORD000544,66410.14,EMI,3.0
ORD000545,69205.68,Net Banking,1.0
ORD000546,44253.81,Debit Card,1.0
ORD000547,21641.5,UPI,1.0
ORD000548,31697.27,UPI,1.0
ORD000549,1001.22,Cash on Delivery,1.0
ORD000550,25205.44,UPI,1.0
ORD000551,14446.62,UPI,1.0
ORD000552,14453.36,UPI,1.0
ORD000553,7772.67,Cash on Delivery,1.0
ORD000554,82697.8,Cash on Delivery,1.0
ORD000555,49287.2,Credit Card,1.0
ORD000556,6508.12,Debit Card,1.0
ORD000557,39155.28,,1.0
ORD000558,16818.3,Debit Card,1.0
ORD000559,46638.54,UPI,1.0
ORD000560,30601.17,Debit Card,1.0
ORD000561,51654.75,UPI,1.0
ORD000562,17379.79,Net Banking,1.0
ORD000563,2028.78,EMI,12.0
ORD000564,23968.56,Debit Card,1.0
ORD000565,25963.32,Wallet,1.0
ORD000566,25449.1,Debit Card,1.0
ORD000567,4634.23,UPI,1.0
ORD000568,9671.94,UPI,1.0
ORD000569,50060.67,Credit Card,1.0
ORD000570,166389.81,UPI,1.0
ORD000571,16166.64,UPI,1.0
ORD000572,90554.71,Credit Card,1.0
ORD000573,55351.17,UPI,1.0
ORD000574,35073.44,UPI,1.0
ORD000575,87940.91,Credit Card,1.0
ORD000576,43613.54,UPI,1.0
ORD000577,15251.43,Credit Card,1.0
ORD000578,60881.4,Cash on Delivery,1.0
ORD000579,,UPI,1.0
ORD000580,,Net Banking,1.0
ORD000581,19478.14,UPI,1.0
ORD000582,20989.16,UPI,1.0
ORD000583,45927.2,UPI,1.0
ORD000584,2467.22,UPI,1.0
ORD000585,7700.54,Cash on Delivery,1.0
ORD000586,51344.7,Debit Card,1.0
ORD000587,96722.71,Debit Card,1.0
ORD000588,60944.97,UPI,1.0
ORD000589,7557.74,UPI,
ORD000590,,Cash on Delivery,1.0
ORD000591,15667.26,UPI,1.0
ORD000592,5900.2,UPI,1.0
ORD000593,62699.24,Credit Card,1.0
ORD000594,1208.7,Credit Card,1.0
ORD000595,50997.39,EMI,9.0
ORD000596,104357.2,UPI,1.0
ORD000597,18605.06,UPI,1.0
ORD000598,19660.96,Cash on Delivery,1.0
ORD000599,60989.64,Debit Card,1.0
ORD000600,148567.76,UPI,1.0
ORD000601,20304.52,Credit Card,1.0
ORD000602,3367.78,Credit Card,1.0
ORD000603,8907.98,Net Banking,1.0
ORD000604,46810.27,Credit Card,1.0
ORD000605,50138.49,EMI,12.0
ORD000606,44880.61,UPI,1.0
ORD000607,62842.15,Cash on Delivery,1.0
ORD000608,44374.54,Cash on Delivery,1.0
ORD000609,71475.6,Credit Card,1.0
ORD000610,67324.24,Credit Card,1.0
ORD000611,13406.01,Debit Card,1.0
ORD000612,19711.9,UPI,1.0
ORD000613,132929.05,Debit Card,1.0
ORD000614,29092.25,UPI,1.0
ORD000615,48380.34,Debit Card,1.0
ORD000616,88281.19,Debit Card,1.0
ORD000617,26494.18,UPI,1.0
ORD000618,3495.24,UPI,1.0
ORD000619,6159.82,Net Banking,1.0
ORD000620,107155.7,EMI,12.0
ORD000621,22071.64,UPI,1.0
ORD000622,7307.42,Debit Card,1.0
ORD000623,6035.0,UPI,1.0
ORD000624,68375.23,Debit Card,1.0
ORD000625,233791.46,Debit Card,1.0
ORD000626,41184.62,Debit Card,1.0
ORD000627,54485.97,,1.0
ORD000628,,EMI,12.0
ORD000629,33392.02,Credit Card,1.0
ORD000630,1311.12,EMI,6.0
ORD000631,3506.99,UPI,1.0
ORD000632,16855.84,Debit Card,1.0
ORD000633,17024.62,UPI,1.0
ORD000634,14359.48,Credit Card,1.0
ORD000635,9218.51,Cash on Delivery,1.0
ORD000636,633.01,UPI,1.0
ORD000637,7105.48,Cash on Delivery,1.0
ORD000638,97604.64,Net Banking,1.0
ORD000639,14951.33,Debit Card,1.0
ORD000640,23749.22,Cash on Delivery,1.0
ORD000641,20519.07,Net Banking,1.0
ORD000642,113900.93,UPI,1.0
ORD000643,62236.53,Net Banking,1.0
ORD000644,46080.46,UPI,1.0
ORD000645,12254.06,Credit Card,1.0
ORD000646,6926.76,UPI,1.0
ORD000647,31097.96,Debit Card,1.0
ORD000648,38697.24,Debit Card,1.0
ORD000649,72269.84,Cash on Delivery,1.0
ORD000650,84791.63,Debit Card,1.0
ORD000651,39607.51,Credit Card,1.0
ORD000652,70728.61,UPI,1.0
ORD000653,63277.18,EMI,9.0
ORD000654,27465.86,Net Banking,1.0
ORD000655,26125.84,Cash on Delivery,1.0
ORD000656,1396.26,Net Banking,1.0
ORD000657,63716.43,Credit Card,1.0
ORD000658,17764.86,Credit Card,1.0
ORD000659,9893.84,Debit Card,1.0
ORD000660,77020.05,UPI,1.0
ORD000661,24044.77,Credit Card,1.0
ORD000662,13806.95,,1.0
ORD000663,4588.53,Wallet,1.0
ORD000664,35628.76,UPI,1.0
ORD000665,30750.4,UPI,1.0
ORD000666,22759.17,Wallet,1.0
ORD000667,47001.51,Credit Card,1.0
ORD000668,59582.52,UPI,1.0
ORD000669,12653.18,EMI,9.0
ORD000670,53894.22,Credit Card,1.0
ORD000671,89655.11,Net Banking,1.0
ORD000672,64628.8,UPI,1.0
ORD000673,159295.07,UPI,1.0
ORD000674,32228.82,UPI,1.0
ORD000675,73419.44,Credit Card,1.0
ORD000676,24759.24,Cash on Delivery,1.0
ORD000677,7181.01,UPI,1.0
ORD000678,59101.13,Cash on Delivery,1.0
ORD000679,16814.14,UPI,1.0
ORD000680,53082.11,UPI,1.0
ORD000681,79590.63,Debit Card,1.0
ORD000682,59553.64,UPI,1.0
ORD000683,20704.21,UPI,1.0
ORD000684,40837.74,Cash on Delivery,1.0
ORD000685,40711.36,Cash on Delivery,1.0
ORD000686,8006.98,Credit Card,1.0
ORD000687,13750.05,Debit Card,1.0
ORD000688,39257.64,UPI,1.0
ORD000689,20021.32,UPI,1.0
