seller_id,seller_name,seller_city,seller_state,seller_pincode,seller_rating
SEL0058,Priya Mehta Store,Indore,Madhya Pradesh,173658,3.7
SEL0059,Aisha Sharma Store,Bhopal,Madhya Pradesh,469427,3.4
SEL0060,Aisha Das Store,Pune,Maharashtra,421398,3.5
SEL0061,Ishaan Kumar Store,Tiruchirappalli,Tamil Nadu,936357,4.5
SEL0062,Omkar Bose Store,Ajmer,Rajasthan,369919,3.0
SEL0063,Riya Joshi Store,Faridabad,Haryana,807409,2.7
SEL0064,Ishaan Tiwari Store,Ambala,Haryana,684641,3.9
SEL0065,Aarav Agarwal Store,Agra,Uttar Pradesh,983924,4.6
SEL0066,Sanjay Bose Store,Jalandhar,Punjab,413592,3.9
SEL0067,Rajesh Agarwal Store,Patna,Bihar,402386,4.5
SEL0068,Nikhil Pillai Store,Ajmer,Rajasthan,680593,4.7
SEL0069,Deepak Naidu Store,Gandhinagar,Gujarat,904389,
SEL0070,Ravi Sharma Store,Ambala,Haryana,779601,4.0
SEL0071,Rajesh Mehta Store,Siliguri,West Bengal,818561,4.6
SEL0072,Pankaj Mehta Store,Patiala,Punjab,242271,4.1
SEL0073,Aisha Gupta Store,Mysuru,Karnataka,497539,4.0
SEL0074,Sneha Verma Store,Kanpur,Uttar Pradesh,911108,
SEL0075,Aisha Patel Store,Salem,Tamil Nadu,794685,4.3
SEL0076,Aisha Nair Store,Salem,Tamil Nadu,931006,3.8
SEL0077,Rahul Pillai Store,Muzaffarpur,Bihar,685934,2.6
SEL0078,Neha Tiwari Store,Kollam,Kerala,715525,4.0
SEL0079,Neha Patel Store,Pune,Maharashtra,427458,3.0
SEL0080,Rajesh Reddy Store,Chennai,Tamil Nadu,137373,
SEL0081,Riya Agarwal Store,Pune,Maharashtra,426539,4.2
SEL0082,Lakshmi Reddy Store,Ambala,Haryana,643322,3.6
SEL0083,Aisha Pillai Store,Jalandhar,Punjab,618430,4.3
SEL0084,Rahul Reddy Store,Rohini,Delhi,625332,3.5
SEL0085,Manish Mehta Store,Nashik,Maharashtra,183107,4.7
SEL0086,Pooja Rao Store,Khammam,Telangana,891646,3.6
SEL0087,Pooja Bose Store,Sambalpur,Odisha,246910,3.7
SEL0088,Mohan Nair Store,Ajmer,Rajasthan,584008,2.8
SEL0089,Manish Kumar Store,Gurugram,Haryana,498385,3.8
SEL0090,Tarun Malhotra Store,Gwalior,Madhya Pradesh,818809,
SEL0091,Omkar Rao Store,New Delhi,Delhi,281760,4.4
SEL0092,Ishaan Das Store,Khammam,Telangana,438804,4.3
SEL0093,Rohit Joshi Store,Karimnagar,Telangana,763928,2.5
SEL0094,Divya Pandey Store,Karimnagar,Telangana,279787,3.7
SEL0095,Nisha Chopra Store,Mysuru,Karnataka,568539,2.6
SEL0096,Sneha Pillai Store,Ludhiana,Punjab,183261,3.9
SEL0097,Deepak Shah Store,Agra,Uttar Pradesh,949846,4.8
SEL0098,Neha Mishra Store,Indore,Madhya Pradesh,193602,4.7
SEL0099,Neha Mehta Store,Siliguri,West Bengal,189671,3.1
SEL0100,Kiran Nair Store,Howrah,West Bengal,525311,2.9
SEL0101,Nisha Shah Store,Patna,Bihar,962933,
SEL0102,Rohit Shah Store,Warangal,Telangana,910135,3.9
SEL0103,Meera Pillai Store,Jabalpur,Madhya Pradesh,881089,
SEL0104,Anjali Patel Store,Howrah,West Bengal,749334,4.5
SEL0105,Priya Shah Store,Jabalpur,Madhya Pradesh,481818,3.1
SEL0106,Ananya Verma Store,Dwarka,Delhi,192462,3.1
SEL0107,Aarav Bose Store,Nizamabad,Telangana,703131,4.0
SEL0108,Meera Saxena Store,Warangal,Telangana,645688,3.2
SEL0109,Kavya Saxena Store,Hisar,Haryana,657433,3.6
SEL0110,Anjali Saxena Store,Asansol,West Bengal,423193,3.6
SEL0111,Ananya Tiwari Store,New Delhi,Delhi,940305,3.0
SEL0112,Nikhil Bose Store,Hisar,Haryana,760092,2.7
SEL0113,Manish Mishra Store,Ujjain,Madhya Pradesh,272065,4.4
SEL0114,Sanjay Saxena Store,Warangal,Telangana,826035,4.5
SEL0115,Suresh Reddy Store,Patna,Bihar,,4.0
SEL0116,Kavya Shah Store,Tiruchirappalli,Tamil Nadu,123735,2.9
SEL0117,Suresh Das Store,Agra,Uttar Pradesh,623789,3.7
SEL0118,Nisha Patel Store,Dwarka,Delhi,650387,2.9
SEL0119,Tanvi Pandey Store,Darbhanga,Bihar,230724,
SEL0120,Lakshmi Sharma Store,Gwalior,Madhya Pradesh,656247,4.2
SEL0121,Priya Mehta Store,Ghaziabad,Uttar Pradesh,778318,2.6
SEL0122,Varun Nair Store,Karimnagar,Telangana,113471,2.5
SEL0123,Rajesh Verma Store,Belagavi,Karnataka,411407,5.0
SEL0124,Yasmin Patel Store,Kollam,Kerala,204159,2.6
SEL0125,Priya Patel Store,Patiala,Punjab,176434,4.7
SEL0126,Aarav Patel Store,Patna,Bihar,880811,4.9
SEL0127,Rahul Tiwari Store,Rohini,Delhi,293389,3.3
SEL0128,Zara Mehta Store,Gurugram,Haryana,102597,3.9
SEL0129,Omkar Agarwal Store,Rohini,Delhi,645074,4.1
SEL0130,Ananya Bose Store,Patna,Bihar,357259,3.8
SEL0131,Tarun Naidu Store,Mangaluru,Karnataka,973359,
SEL0132,Yasmin Bose Store,New Delhi,Delhi,728653,4.0
SEL0133,Amit Mishra Store,Ghaziabad,Uttar Pradesh,789163,3.1
SEL0134,Sanjay Iyer Store,Agra,Uttar Pradesh,414380,2.9
SEL0135,Sanjay Iyer Store,Saket,Delhi,151991,3.8
SEL0136,Sunita Mishra Store,Kochi,Kerala,244427,3.4
SEL0137,Aarav Pillai Store,Rourkela,Odisha,272212,2.6
SEL0138,Sunita Sharma Store,Hisar,Haryana,635091,4.9
SEL0139,Omkar Bose Store,Mumbai,Maharashtra,759226,2.6
SEL0140,Anjali Das Store,Rohini,Delhi,491314,
SEL0141,Vijay Naidu Store,Salem,Tamil Nadu,928384,3.0
SEL0142,Pankaj Nair Store,New Delhi,Delhi,980313,2.9
SEL0143,Manish Mehta Store,Kolkata,West Bengal,286038,2.7
SEL0144,Ravi Malhotra Store,Coimbatore,Tamil Nadu,963357,
SEL0145,Lakshmi Joshi Store,Mumbai,Maharashtra,881251,
SEL0146,Nikhil Pillai Store,Dwarka,Delhi,,4.8
SEL0147,Tanvi Malhotra Store,Bathinda,Punjab,431557,4.5
SEL0148,Nisha Pandey Store,Belagavi,Karnataka,543704,2.9
SEL0149,Sanjay Bose Store,Mangaluru,Karnataka,508391,2.9
SEL0150,Nikhil Bose Store,Gaya,Bihar,897573,2.5
SEL0151,Tarun Rao Store,Khammam,Telangana,562741,4.2
SEL0152,Varun Joshi Store,Mumbai,Maharashtra,892030,2.5
SEL0153,Pankaj Iyer Store,Thrissur,Kerala,661955,2.8
SEL0154,Sunita Tiwari Store,Faridabad,Haryana,344707,4.1
SEL0155,Pankaj Bose Store,Ghaziabad,Uttar Pradesh,229848,2.9
SEL0156,Pankaj Pandey Store,Salem,Tamil Nadu,355985,
SEL0157,Omkar Malhotra Store,Mangaluru,Karnataka,205949,3.1
SEL0158,Gaurav Patel Store,Salem,Tamil Nadu,507939,3.5
SEL0159,Priya Iyer Store,Gaya,Bihar,420432,2.5
SEL0160,Sunita Reddy Store,Asansol,West Bengal,408343,4.4
SEL0161,Aarav Nair Store,Vadodara,Gujarat,884642,4.4
SEL0162,Lakshmi Tiwari Store,Indore,Madhya Pradesh,632977,3.4
SEL0163,Aisha Sharma Store,Cuttack,Odisha,691091,4.5
SEL0164,Sneha Joshi Store,Kanpur,Uttar Pradesh,123991,3.2
SEL0165,Rajesh Pandey Store,Jalandhar,Punjab,976333,
SEL0166,Gaurav Verma Store,Hubli,Karnataka,892468,3.5
SEL0167,Nikhil Pandey Store,Ludhiana,Punjab,949060,
SEL0168,Priya Agarwal Store,Ajmer,Rajasthan,973069,3.3
SEL0169,Ishaan Joshi Store,Tiruchirappalli,Tamil Nadu,956953,3.6
SEL0170,Divya Kumar Store,Surat,Gujarat,962338,4.1
SEL0171,Kavya Kumar Store,Kota,Rajasthan,688595,3.4
SEL0172,Nisha Agarwal Store,Asansol,West Bengal,985429,4.1
SEL0173,Kavya Tiwari Store,Surat,Gujarat,859816,2.9
SEL0174,Pankaj Sharma Store,Gaya,Bihar,313456,3.7
SEL0175,Riya Malhotra Store,Aurangabad,Maharashtra,707432,3.2
SEL0176,Kavya Saxena Store,Mysuru,Karnataka,470631,
SEL0177,Priya Kumar Store,Kota,Rajasthan,866107,4.6
SEL0178,Omkar Iyer Store,Ludhiana,Punjab,675269,3.7
SEL0179,Tarun Verma Store,Lucknow,Uttar Pradesh,601519,3.6
SEL0180,Meera Iyer Store,Bathinda,Punjab,600017,4.6
SEL0181,Rajesh Das Store,Indore,Madhya Pradesh,339565,4.2
SEL0182,Vijay Singh Store,Panipat,Haryana,487924,4.2
SEL0183,Neha Malhotra Store,Janakpuri,Delhi,439851,3.9
SEL0184,Yasmin Singh Store,Nagpur,Maharashtra,161096,4.7
SEL0185,Sunita Patel Store,Khammam,Telangana,809708,3.0
SEL0186,Aditi Naidu Store,Indore,Madhya Pradesh,304884,4.7
SEL0187,Sneha Verma Store,Asansol,West Bengal,819576,3.8
SEL0188,Amit Naidu Store,Darbhanga,Bihar,545191,4.1
SEL0189,Meera Saxena Store,Madurai,Tamil Nadu,148219,4.9
SEL0190,Gaurav Naidu Store,Khammam,Telangana,421459,3.6
SEL0191,Yasmin Pandey Store,Ghaziabad,Uttar Pradesh,910287,4.2
SEL0192,Tanvi Iyer Store,Ludhiana,Punjab,851926,3.8
SEL0193,Deepak Mishra Store,Sambalpur,Odisha,385764,4.8
SEL0194,Manish Iyer Store,Bhagalpur,Bihar,491361,3.7
SEL0195,Zara Mehta Store,Gaya,Bihar,641678,3.1
SEL0196,Tarun Gupta Store,Hubli,Karnataka,106987,3.7
SEL0197,Suresh Tiwari Store,Bengaluru,Karnataka,966961,4.8
SEL0198,Omkar Bose Store,Cuttack,Odisha,968245,3.8
SEL0199,Tarun Rao Store,Ajmer,Rajasthan,881433,2.9
SEL0200,Kiran Sharma Store,Varanasi,Uttar Pradesh,383457,3.9
SEL0201,Aisha Das Store,Vadodara,Gujarat,578640,3.5
SEL0202,Aisha Chopra Store,Bengaluru,Karnataka,397776,4.1
SEL0203,Ananya Shah Store,Jabalpur,Madhya Pradesh,194812,
SEL0204,Yasmin Singh Store,Panipat,Haryana,582754,3.3
SEL0205,Yasmin Saxena Store,Aurangabad,Maharashtra,715384,3.8
SEL0206,Aarav Naidu Store,Darbhanga,Bihar,806245,2.8
SEL0207,Pooja Kumar Store,Vadodara,Gujarat,781480,3.0
SEL0208,Sunita Kumar Store,Hyderabad,Telangana,176561,4.5
SEL0209,Neha Chopra Store,Dwarka,Delhi,472755,4.8
SEL0210,Ananya Pillai Store,Khammam,Telangana,376330,4.9
SEL0211,Rahul Mehta Store,Faridabad,Haryana,790406,4.8
SEL0212,Neha Mehta Store,Dwarka,Delhi,104235,4.9
SEL0213,Neha Malhotra Store,Jalandhar,Punjab,130087,4.6
SEL0214,Gaurav Rao Store,Warangal,Telangana,624456,4.3
SEL0215,Aarav Pandey Store,Ghaziabad,Uttar Pradesh,283341,3.1
SEL0216,Varun Naidu Store,Agra,Uttar Pradesh,862466,3.6
SEL0217,Amit Joshi Store,Amritsar,Punjab,721187,
SEL0218,Mohan Nair Store,Vadodara,Gujarat,272910,4.3
SEL0219,Varun Kumar Store,Ajmer,Rajasthan,176974,3.7
SEL0220,Nikhil Verma Store,Ujjain,Madhya Pradesh,487233,3.4
SEL0221,Pankaj Pandey Store,Howrah,West Bengal,420578,4.5
SEL0222,Meera Tiwari Store,Faridabad,Haryana,809445,4.4
SEL0223,Vikram Malhotra Store,Ajmer,Rajasthan,797018,3.4
SEL0224,Sneha Mehta Store,Jodhpur,Rajasthan,,3.5
SEL0225,Manish Kumar Store,Jaipur,Rajasthan,602933,
SEL0226,Varun Tiwari Store,Karimnagar,Telangana,613575,4.3
SEL0227,Aditi Pillai Store,Udaipur,Rajasthan,541173,4.2
SEL0228,Divya Joshi Store,Bengaluru,Karnataka,912849,4.3
SEL0229,Sneha Tiwari Store,Pune,Maharashtra,649954,2.8
SEL0230,Anjali Patel Store,Nagpur,Maharashtra,395379,3.9
SEL0231,Riya Sharma Store,Lucknow,Uttar Pradesh,946827,3.2
SEL0232,Manish Shah Store,Asansol,West Bengal,530118,2.7
SEL0233,Nikhil Chopra Store,Lucknow,Uttar Pradesh,909436,4.3
SEL0234,Rohit Joshi Store,Nagpur,Maharashtra,561585,3.3
SEL0235,Ishaan Saxena Store,Berhampur,Odisha,415037,3.3
SEL0236,Deepak Saxena Store,Coimbatore,Tamil Nadu,246454,4.1
SEL0237,Nisha Kumar Store,Jalandhar,Punjab,146119,4.2
SEL0238,Rohit Das Store,Dwarka,Delhi,440960,3.7
SEL0239,Gaurav Chopra Store,Khammam,Telangana,470833,3.9
SEL0240,Rahul Verma Store,Kollam,Kerala,145501,4.6
SEL0241,Gaurav Gupta Store,Durgapur,West Bengal,739511,2.8
SEL0242,Pooja Saxena Store,Udaipur,Rajasthan,665278,2.7
SEL0243,Omkar Iyer Store,Chennai,Tamil Nadu,862838,4.1
SEL0244,Pooja Malhotra Store,Janakpuri,Delhi,657505,4.0
SEL0245,Tanvi Saxena Store,Belagavi,Karnataka,261351,3.0
SEL0246,Deepak Singh Store,Indore,Madhya Pradesh,282583,3.8
SEL0247,Ishaan Saxena Store,Karimnagar,Telangana,134239,4.4
SEL0248,Aditi Rao Store,Coimbatore,Tamil Nadu,783407,4.3
SEL0249,Riya Gupta Store,Hyderabad,Telangana,225750,4.0
SEL0250,Tarun Agarwal Store,Ajmer,Rajasthan,658254,2.8
SEL0251,Sunita Rao Store,Indore,Madhya Pradesh,539681,3.3
SEL0252,Ananya Das Store,Mumbai,Maharashtra,987477,
SEL0253,Manish Sharma Store,Ujjain,Madhya Pradesh,,
SEL0254,Mohan Singh Store,Janakpuri,Delhi,658925,3.9
SEL0255,Anjali Gupta Store,Durgapur,West Bengal,537667,4.3
SEL0256,Aditi Nair Store,Faridabad,Haryana,650892,4.8
SEL0257,Deepak Chopra Store,Rourkela,Odisha,567809,4.1
SEL0258,Aditi Tiwari Store,Surat,Gujarat,974800,3.1
SEL0259,Sunita Gupta Store,Durgapur,West Bengal,963340,
SEL0260,Gaurav Mishra Store,Amritsar,Punjab,339823,
SEL0261,Rahul Shah Store,Amritsar,Punjab,168705,2.9
SEL0262,Omkar Tiwari Store,Jalandhar,Punjab,948193,3.2
SEL0263,Rajesh Gupta Store,Nashik,Maharashtra,454789,3.2
SEL0264,Kiran Kumar Store,Dwarka,Delhi,411300,4.2
SEL0265,Tanvi Das Store,Warangal,Telangana,806709,
SEL0266,Ishaan Mishra Store,Kollam,Kerala,744390,3.6
SEL0267,Tanvi Tiwari Store,Jabalpur,Madhya Pradesh,443288,2.5
SEL0268,Vijay Das Store,Kochi,Kerala,800767,3.2
SEL0269,Aditi Tiwari Store,Aurangabad,Maharashtra,725205,2.6
SEL0270,Rohit Saxena Store,Jodhpur,Rajasthan,301181,4.3
SEL0271,Tarun Saxena Store,Patiala,Punjab,876520,3.4
SEL0272,Sneha Chopra Store,Rourkela,Odisha,255044,3.7
SEL0273,Aditi Singh Store,Patiala,Punjab,625285,4.4
SEL0274,Vijay Naidu Store,Kolkata,West Bengal,836981,4.7
SEL0275,Mohan Mishra Store,Patiala,Punjab,832920,3.8
SEL0276,Yasmin Verma Store,Panipat,Haryana,875793,4.1
SEL0277,Zara Bose Store,Khammam,Telangana,391768,4.3
SEL0278,Gaurav Sharma Store,Ghaziabad,Uttar Pradesh,114231,3.2
SEL0279,Deepak Singh Store,Bhopal,Madhya Pradesh,683949,4.3
SEL0280,Sanjay Agarwal Store,Ghaziabad,Uttar Pradesh,928242,4.1
SEL0281,Sneha Malhotra Store,Lucknow,Uttar Pradesh,712129,3.6
SEL0282,Anjali Shah Store,Ajmer,Rajasthan,717278,3.4
SEL0283,Aditi Rao Store,Ghaziabad,Uttar Pradesh,767622,4.9
SEL0284,Deepak Singh Store,Gurugram,Haryana,320713,5.0
SEL0285,Mohan Kumar Store,Belagavi,Karnataka,694585,4.2
SEL0286,Tanvi Patel Store,Ludhiana,Punjab,407612,3.5
SEL0287,Anjali Iyer Store,Gwalior,Madhya Pradesh,843042,4.4
SEL0288,Varun Mishra Store,Salem,Tamil Nadu,776669,
SEL0289,Rahul Singh Store,Muzaffarpur,Bihar,147652,3.9
SEL0290,Anjali Singh Store,Hyderabad,Telangana,702916,2.8
SEL0291,Ananya Agarwal Store,Siliguri,West Bengal,187540,4.9
SEL0292,Ishaan Naidu Store,Bengaluru,Karnataka,921964,3.1
SEL0293,Varun Verma Store,Chennai,Tamil Nadu,755875,3.5
SEL0294,Tarun Reddy Store,Agra,Uttar Pradesh,211205,3.4
SEL0295,Rohit Agarwal Store,Howrah,West Bengal,,2.9
SEL0296,Sneha Nair Store,Rohini,Delhi,561423,2.6
SEL0297,Anjali Kumar Store,Ludhiana,Punjab,526586,4.8
SEL0298,Vikram Pandey Store,Cuttack,Odisha,,4.3
SEL0299,Sneha Pandey Store,Varanasi,Uttar Pradesh,448201,2.6
SEL0300,Ishaan Tiwari Store,Warangal,Telangana,240308,4.2
SEL0301,Pooja Pillai Store,Thrissur,Kerala,801219,2.8
SEL0302,Sneha Nair Store,Vadodara,Gujarat,404823,4.3
SEL0303,Anjali Saxena Store,Udaipur,Rajasthan,479686,3.8
SEL0304,Aarav Nair Store,Jabalpur,Madhya Pradesh,185364,4.9
SEL0305,Deepak Tiwari Store,Berhampur,Odisha,845243,3.6
SEL0306,Pankaj Kumar Store,Ludhiana,Punjab,552251,4.4
SEL0307,Arjun Kumar Store,Vadodara,Gujarat,778357,
SEL0308,Aarav Singh Store,Gandhinagar,Gujarat,897828,4.8
SEL0309,Pankaj Chopra Store,Nizamabad,Telangana,835618,3.9
SEL0310,Manish Agarwal Store,Nashik,Maharashtra,113707,3.3
SEL0311,Sneha Kumar Store,Ahmedabad,Gujarat,990004,2.8
SEL0312,Nisha Sharma Store,Mumbai,Maharashtra,691746,4.1
SEL0313,Varun Mehta Store,Cuttack,Odisha,518679,4.4
SEL0314,Manish Pillai Store,Udaipur,Rajasthan,740450,2.7
SEL0315,Mohan Saxena Store,Rajkot,Gujarat,303194,2.9
SEL0316,Sanjay Bose Store,Darbhanga,Bihar,347200,3.5
SEL0317,Pooja Gupta Store,Tiruchirappalli,Tamil Nadu,146745,4.6
SEL0318,Ravi Joshi Store,Hisar,Haryana,168992,5.0
SEL0319,Suresh Rao Store,Cuttack,Odisha,501043,4.4
SEL0320,Meera Verma Store,New Delhi,Delhi,779758,2.5
SEL0321,Anjali Verma Store,Kolkata,West Bengal,,4.8
SEL0322,Sanjay Das Store,Gwalior,Madhya Pradesh,904765,2.6
SEL0323,Arjun Reddy Store,Gurugram,Haryana,839466,4.7
SEL0324,Yasmin Naidu Store,Cuttack,Odisha,949379,3.5
SEL0325,Lakshmi Chopra Store,Surat,Gujarat,197371,4.4
SEL0326,Gaurav Tiwari Store,Aurangabad,Maharashtra,287736,
SEL0327,Suresh Das Store,Durgapur,West Bengal,428710,2.9
SEL0328,Pooja Nair Store,Kochi,Kerala,881476,3.6
SEL0329,Varun Agarwal Store,Pune,Maharashtra,327358,2.6
SEL0330,Arjun Reddy Store,Howrah,West Bengal,893723,3.5
SEL0331,Lakshmi Malhotra Store,Kota,Rajasthan,708889,4.4
SEL0332,Mohan Das Store,Janakpuri,Delhi,344852,4.1
SEL0333,Meera Das Store,Mysuru,Karnataka,864081,3.4
SEL0334,Aarav Kumar Store,Belagavi,Karnataka,,2.5
SEL0335,Sunita Shah Store,Faridabad,Haryana,596668,
SEL0336,Omkar Verma Store,New Delhi,Delhi,297716,4.4
SEL0337,Tanvi Kumar Store,Karimnagar,Telangana,382104,3.4
SEL0338,Tarun Bose Store,Bengaluru,Karnataka,792753,3.4
SEL0339,Zara Kumar Store,Bhubaneswar,Odisha,454907,2.7
SEL0340,Arjun Patel Store,Janakpuri,Delhi,256846,4.0
SEL0341,Pankaj Singh Store,Chennai,Tamil Nadu,463551,4.1
SEL0342,Lakshmi Tiwari Store,Vadodara,Gujarat,355517,3.6
SEL0343,Riya Kumar Store,Dwarka,Delhi,496813,4.4
SEL0344,Zara Rao Store,Nashik,Maharashtra,531046,4.7
SEL0345,Pooja Pandey Store,Bhagalpur,Bihar,248764,
SEL0346,Pooja Malhotra Store,Cuttack,Odisha,404523,3.9
SEL0347,Rahul Tiwari Store,Belagavi,Karnataka,866311,4.8
SEL0348,Suresh Joshi Store,Nizamabad,Telangana,626053,3.5
SEL0349,Nikhil Reddy Store,Ajmer,Rajasthan,133125,4.1
SEL0350,Deepak Iyer Store,Khammam,Telangana,995173,3.9
SEL0351,Riya Sharma Store,Amritsar,Punjab,441950,4.6
SEL0352,Arjun Reddy Store,Kanpur,Uttar Pradesh,103250,3.7
SEL0353,Yasmin Mishra Store,Bhubaneswar,Odisha,357661,3.9
SEL0354,Pooja Rao Store,Kollam,Kerala,467985,3.6
SEL0355,Neha Iyer Store,Khammam,Telangana,817788,2.9
SEL0356,Ishaan Iyer Store,Kanpur,Uttar Pradesh,712031,4.7
SEL0357,Ravi Pillai Store,Nagpur,Maharashtra,984740,4.7
SEL0358,Ananya Naidu Store,Hisar,Haryana,486338,4.3
SEL0359,Divya Rao Store,Jabalpur,Madhya Pradesh,502581,3.4
SEL0360,Rahul Rao Store,Jalandhar,Punjab,160562,3.4
SEL0361,Nisha Tiwari Store,Tiruchirappalli,Tamil Nadu,465015,2.6
SEL0362,Rohit Bose Store,Ambala,Haryana,962142,2.7
SEL0363,Ravi Nair Store,Udaipur,Rajasthan,503323,3.8
SEL0364,Arjun Iyer Store,Salem,Tamil Nadu,336812,2.6
SEL0365,Divya Verma Store,Rohini,Delhi,475403,2.7
SEL0366,Nikhil Bose Store,Ghaziabad,Uttar Pradesh,775232,3.1
SEL0367,Divya Gupta Store,Ahmedabad,Gujarat,882365,3.4
SEL0368,Divya Nair Store,Nashik,Maharashtra,355087,3.7
SEL0369,Zara Malhotra Store,Bhagalpur,Bihar,135885,3.3
SEL0370,Omkar Mishra Store,Hubli,Karnataka,544084,4.9
SEL0371,Gaurav Patel Store,Thrissur,Kerala,,4.9
SEL0372,Amit Singh Store,Bhubaneswar,Odisha,132636,2.6
SEL0373,Meera Agarwal Store,Hisar,Haryana,815235,5.0
SEL0374,Ishaan Kumar Store,Asansol,West Bengal,127264,2.9
SEL0375,Ravi Tiwari Store,Janakpuri,Delhi,367653,3.3
SEL0376,Ravi Patel Store,Rohini,Delhi,923200,4.6
SEL0377,Omkar Pillai Store,Berhampur,Odisha,181485,4.2
SEL0378,Omkar Verma Store,Ahmedabad,Gujarat,883080,2.6
SEL0379,Varun Tiwari Store,Bengaluru,Karnataka,155777,4.4
SEL0380,Rohit Saxena Store,Salem,Tamil Nadu,803165,4.2
SEL0381,Ravi Reddy Store,Howrah,West Bengal,509727,4.9
SEL0382,Meera Reddy Store,Hisar,Haryana,501894,4.8
SEL0383,Vikram Rao Store,Gaya,Bihar,396759,
SEL0384,Sanjay Verma Store,Karimnagar,Telangana,741182,3.6
SEL0385,Neha Malhotra Store,Surat,Gujarat,944084,4.3
SEL0386,Meera Kumar Store,Vadodara,Gujarat,452002,4.9
SEL0387,Tanvi Mehta Store,Janakpuri,Delhi,108045,2.5
SEL0388,Varun Pandey Store,Karimnagar,Telangana,776984,4.5
